review,rating,date,bank,source,sentiment_score,sentiment_label,themes
"I will give only one star, because it faced with multiple of problems. 1. The app is not as fast as the other banks App, for e.g like CBE 2. The App asks repeatedly to switch off developer options, even if it is switched off. 3. Bank of Abyssinia's services are interesting, but they ignored the issues on the App service. 4. Most customers gave a complain on the App, but no one accept their complain to fix the issue. 5. Lastly, I will not recommend the App unless the issue has been solved ASAP!!",1,2025-01-03,DashnBank,Google Play,-0.8587,negative,Customer Support
By assessing this you can tell Abyssinia bank has no idea what mobile banking is ?,1,2025-01-02,DashnBank,Google Play,-0.296,negative,Other
It doesn't work at all.,2,2025-01-02,DashnBank,Google Play,0.0,neutral,Other
this app is not available,1,2025-01-02,DashnBank,Google Play,0.0,neutral,Other
Wow what amazing,5,2024-12-30,DashnBank,Google Play,0.8225,positive,Other
በጣም መሻሻል አለበት....... ለ ባንኩ ማይመጥን መተግበርያ ነው ::,2,2024-12-30,DashnBank,Google Play,0.0,neutral,Other
Lemn embi yilal??,5,2024-12-30,DashnBank,Google Play,0.0,neutral,Other
It's useless app downgraded.,1,2024-12-29,DashnBank,Google Play,-0.4215,negative,Other
Why is not letting me access my account. The whole point of this app is for me to gey access to my account without physically being at the bank. I would give it a zero but a one will suffice to get my point accross.,1,2024-12-27,DashnBank,Google Play,0.0,neutral,Customer Support
When are you going to get rid of this and have a real app that works? By far the worst mobile banking app.,1,2024-12-24,DashnBank,Google Play,-0.6249,negative,Other
አይሰራም ሼም ነው፤,1,2024-12-23,DashnBank,Google Play,0.0,neutral,Other
Not that much bad,3,2024-12-22,DashnBank,Google Play,0.431,positive,Other
Fine,5,2024-12-21,DashnBank,Google Play,0.2023,positive,Other
The dirtiest application ever seen...,1,2024-12-20,DashnBank,Google Play,-0.5267,negative,Other
Nic ap,5,2024-12-19,DashnBank,Google Play,0.0,neutral,Other
The forest app ever,1,2024-12-19,DashnBank,Google Play,0.0,neutral,Other
"I love BoA more than anyone but they are cursed when it comed to mobile banking. Even though this ine is hetter it still s*cks! It will ask me to turn off developer options other wise it won't work! I use CBE, Awash birr, tekebirr, Dashen bank and others but non of them asked me this, why only BoA? Please improve your mobile banking, be competitive!",1,2024-12-19,DashnBank,Google Play,0.9475,positive,Other
Bank of abissena,1,2024-12-17,DashnBank,Google Play,0.0,neutral,Other
"Easy and sooo simple to use it, also its easy to stole someones money using the app",3,2024-12-16,DashnBank,Google Play,0.7003,positive,Other
GOOD,5,2024-12-15,DashnBank,Google Play,0.4404,positive,Other
The worst banking app ever. Never works!,1,2024-12-14,DashnBank,Google Play,-0.6588,negative,Other
Poorly functioning app,3,2024-12-13,DashnBank,Google Play,0.0,neutral,Other
Very nice,5,2024-12-13,DashnBank,Google Play,0.4754,positive,Other
Your system is the worst you should do better😡😡😡😡😡😡,2,2024-12-11,DashnBank,Google Play,-0.6249,negative,Other
It has been a while since you guys started giving the mobile app service but still couldn't get it to work. I'm sure you know that it doesn't work already but not sure if you're lazy or incompetent to fix it. You are losing business because of this. Complacency will have consequences.,1,2024-12-10,DashnBank,Google Play,-0.6369,negative,Customer Support
"This is the best app; many features are awesome, but it should work without the need to turn off the developer options. I'm tired of having to constantly switch the developer options off and on. I've been expressing my struggles about this. I have precious settings enabled in the developer options, and to open the App Boa app, I have to turn them off. Please help us, Abyssinia Bank. I hope you can provide an update soon.",4,2024-12-08,DashnBank,Google Play,0.9253,positive,Customer Support
"I’m giving this app one star because there are no options below that. My experience has been incredibly frustrating due to the extremely long loading times, and the app even closes automatically at times. People choose mobile banking for its convenience, but this app is far too time-consuming, making it the worst I’ve used. I hope improvements are made to enhance the user experience.",1,2024-12-07,DashnBank,Google Play,-0.2135,negative,"UI/UX, Customer Support"
Very unprofessional and mischievous bank in my opinion. I have had several occasions but recently I used Abyssinia Card to withdraw money and it was deducted from my account but despite reporting several times they said they are processing it but I learned yesterday that since it has been 3 months the bank has decided to include it in their income. How absurd. If you can avoid this bank.,1,2024-12-06,DashnBank,Google Play,-0.6245,negative,Other
It doesn't work on my 2 devices A05 and A34 😡,1,2024-12-02,DashnBank,Google Play,0.0,neutral,Other
My attention is very important because it will be the most difficult time for me,5,2024-11-30,DashnBank,Google Play,-0.1779,negative,Other
"I have a worst experience while using this mobile application through out the year. Most of the time it fails to ""Login"" or automatically closed the app. And also it takes so much loading time (5 minutes +) trying to access the internal services. Sometimes also while transferring within and to other bank also fails. So, BOA please fix your app.",1,2024-11-29,DashnBank,Google Play,-0.7976,negative,"Transactions, Customer Support, Security"
I don't know why but your apps start out great then all of a sudden don't work🤷‍♀️,1,2024-11-28,DashnBank,Google Play,0.7684,positive,Other
This application is losing major factions on a daily basis. I can count how many times I have used this app; it is completely useless and disappointing if I am not going to use it in times of need then I don't see the point.,1,2024-11-28,DashnBank,Google Play,-0.8464,negative,Other
exellent digital transaction of money,5,2024-11-27,DashnBank,Google Play,0.0,neutral,Transactions
The latest update has stopped android 9 phones not to open this App. Never work properly since i started using it.,1,2024-11-26,DashnBank,Google Play,-0.2263,negative,Other
👏👏👏,5,2024-11-24,DashnBank,Google Play,0.0,neutral,Other
Money,5,2024-11-24,DashnBank,Google Play,0.0,neutral,Other
It needs more improvment,2,2024-11-24,DashnBank,Google Play,0.0,neutral,Other
ab,3,2024-11-20,DashnBank,Google Play,0.0,neutral,Other
Ademtahir,5,2024-11-20,DashnBank,Google Play,0.0,neutral,Other
✌️✌️,5,2024-11-20,DashnBank,Google Play,0.0,neutral,Other
Please this app on my android phone,3,2024-11-20,DashnBank,Google Play,0.3182,positive,Other
GOAT 🐐 🐐,5,2024-11-19,DashnBank,Google Play,0.0,neutral,Other
"Your app doesn't match your bank, the app is disaster, super slow. Please learn something from tele birr app.",1,2024-11-19,DashnBank,Google Play,0.2732,positive,Performance
Fast and reliable,5,2024-11-18,DashnBank,Google Play,0.0,neutral,Other
"The worst app update ever. Why would you include the ""developer option off"" thing here? Why do you care? It is my phone my money, right? That is the reason why I switched to other banks. So either turn it off or everyone will discontinue their business one by one.",1,2024-11-17,DashnBank,Google Play,-0.3485,negative,Other
Very good,5,2024-11-14,DashnBank,Google Play,0.4927,positive,Other
One of the poorest mobile banking system,1,2024-11-13,DashnBank,Google Play,-0.5423,negative,Other
❤❤❤❤❤❤,5,2024-11-12,DashnBank,Google Play,0.0,neutral,Other
Oene,5,2024-11-12,DashnBank,Google Play,0.0,neutral,Other
i find it interesting specially in reciept downloading,1,2024-11-12,DashnBank,Google Play,0.4019,positive,Other
it good,5,2024-11-12,DashnBank,Google Play,0.4404,positive,Other
"This app crashes everytime, please fix it",1,2024-11-12,DashnBank,Google Play,0.3182,positive,Performance
አንድ star ራሱ ይበዛበታል። i dont recomend to use this app also the bank,1,2024-11-12,DashnBank,Google Play,0.0,neutral,Other
I need a support the app is not working,5,2024-11-12,DashnBank,Google Play,0.4019,positive,Customer Support
Bast bank of ethiopia,5,2024-11-12,DashnBank,Google Play,0.0,neutral,Other
very slow app. አቢሲኒያን ከሚያክል ባንክ የማይጠበቅ software app. ከቻላችሁ ሙሉ ለሙሉ እንደገና አሰሩት።በጣም ይመራያል ያሳፍራል።ለapp የወጣው ወጭ በሙስና የተበላ ነው የሚመስለው።,1,2024-11-12,DashnBank,Google Play,0.0,neutral,Performance
"thank you for your social services like, vertual banking, non touch ATM, Cadrless and withdrwal with out passbook...",5,2024-11-12,DashnBank,Google Play,0.6124,positive,Customer Support
The worst App i have never seen like this before,1,2024-11-12,DashnBank,Google Play,-0.7359,negative,Other
Wweeeer,4,2024-11-12,DashnBank,Google Play,0.0,neutral,Other
Infinx,5,2024-11-12,DashnBank,Google Play,0.0,neutral,Other
Great service,5,2024-11-12,DashnBank,Google Play,0.6249,positive,Customer Support
This app is not available on all android versions and some times it is not functional.,1,2024-11-08,DashnBank,Google Play,0.0,neutral,Other
senayt Mesfin,4,2024-11-08,DashnBank,Google Play,0.0,neutral,Other
Bad app vety bad.,1,2024-11-07,DashnBank,Google Play,-0.7906,negative,Other
Abessnya Banke,5,2024-11-05,DashnBank,Google Play,0.0,neutral,Other
"The most useless app, I never expected such an irrelevant app from BOA. big shame!",1,2024-11-04,DashnBank,Google Play,-0.7569,negative,Other
Professional on banking app,5,2024-11-01,DashnBank,Google Play,0.0,neutral,Other
Has some nice interface but always freezes or slow to load .App developers please fix this issue.,3,2024-10-27,DashnBank,Google Play,0.5719,positive,"UI/UX, Performance"
አይሰራም አስተካክሉት,5,2024-10-26,DashnBank,Google Play,0.0,neutral,Other
Please try another because this app doesn't feet the need of this generation,1,2024-10-25,DashnBank,Google Play,0.3182,positive,Other
Fast transfer,5,2024-10-24,DashnBank,Google Play,0.0,neutral,Transactions
"What's up I can't log in, what's wrong",5,2024-10-22,DashnBank,Google Play,-0.4767,negative,Other
Amrumehamed,1,2024-10-21,DashnBank,Google Play,0.0,neutral,Other
"Nice to meet you my proud bank in Ethiopia.. I'm a member of this bank, i need to solve my problem of international receiving money for me from my online digital working service's over the world please? I'm working a lot of international money.But i can't get direct in Ethiopia because of don't knowing the legal ways of getting money in Ethiopia please can I get and direct deposit with BoA please 🙏🙏🙏?",5,2024-10-18,DashnBank,Google Play,0.8717,positive,"Transactions, Customer Support"
ደደገነሐ,5,2024-10-15,DashnBank,Google Play,0.0,neutral,Other
"Terrible Bank Experience It’s unbelievable that with all the modern technology, this bank still struggles with even basic transactions. The app constantly crashes, services are limited, and every time I try to transfer money or load Telebirr, there’s a huge delay. I have to wait 5 days for failed transactions to be refunded! Even USSD is unreliable. They’ve put me in embarrassing situations countless times, and customer care never fixes anything. I’ve switched banks, and you should too!",1,2024-10-14,DashnBank,Google Play,-0.8395,negative,"Transactions, Customer Support, Performance"
A painfully slow banking app service. Please don't make it your choice!,1,2024-10-13,DashnBank,Google Play,-0.3382,negative,"Customer Support, Performance"
Good App,4,2024-10-12,DashnBank,Google Play,0.4404,positive,Other
Best app to me,5,2024-10-11,DashnBank,Google Play,0.6369,positive,Other
BOA,5,2024-10-11,DashnBank,Google Play,0.0,neutral,Other
Abdulkadir,5,2024-10-11,DashnBank,Google Play,0.0,neutral,Other
Bad,1,2024-10-10,DashnBank,Google Play,-0.5423,negative,Other
If it is possible I would gove0 star,1,2024-10-08,DashnBank,Google Play,0.0,neutral,Other
Nise mobile bankig,4,2024-10-05,DashnBank,Google Play,0.0,neutral,Other
Overall good app but performance needs some improvement also sometimes when using instant other bank transfers it refuses causing to be repeated several times to transfer,4,2024-10-04,DashnBank,Google Play,0.714,positive,Transactions
Just make it work please🤣 this is embarrassing for a bank of your size,1,2024-10-04,DashnBank,Google Play,-0.3818,negative,Other
Update to the simplest way it requires the developer option on and off why this is,5,2024-10-04,DashnBank,Google Play,0.0,neutral,UI/UX
"Stop telling me what to do with my phone, BOA. Why does your newly updated app keep asking me to disable the developer options? I’m not slowing down my phone just to use your God damn app. 🤮🤮🤮🤮",1,2024-10-04,DashnBank,Google Play,-0.4215,negative,Performance
I'm living out of country how may I download and use mobile banking? It asks me the Ethiopia phone number and I can't receive text to confirm because I'm out side the country. So please lete know if I can use while I'm outside the country. Thanks,1,2024-10-04,DashnBank,Google Play,0.6997,positive,Other
Worest app,1,2024-10-03,DashnBank,Google Play,0.0,neutral,Other
The worest app ever,1,2024-10-03,DashnBank,Google Play,0.0,neutral,Other
አሪፍ ነው በርቱልን,5,2024-10-03,DashnBank,Google Play,0.0,neutral,Other
Wwwerrr,5,2024-10-02,DashnBank,Google Play,0.0,neutral,Other
ጀማል ውቀቱ,5,2024-09-30,DashnBank,Google Play,0.0,neutral,Other
Great For Financial company,5,2024-09-30,DashnBank,Google Play,0.6249,positive,Other
Very easy to use,5,2024-09-30,DashnBank,Google Play,0.4927,positive,Other
The App's crash always.. Error.....,3,2024-09-27,DashnBank,Google Play,-0.4019,negative,Performance
This app is incredibly frustrating to use. It’s filled with issues that make it difficult to navigate and complete tasks efficiently. I’ve never encountered such a poorly designed banking application before. It needs significant improvements to enhance user experience. It deserves a vey low rating.,1,2024-09-26,DashnBank,Google Play,-0.2484,negative,UI/UX
Great UI and seamless UX. I love it!!,5,2024-09-25,DashnBank,Google Play,0.8715,positive,UI/UX
That's too good application but try to add more alternatives and futures or possibilitys for your customers,3,2024-09-25,DashnBank,Google Play,0.2382,positive,Other
It's easy used to operate program and secured 👍👍,4,2024-09-25,DashnBank,Google Play,0.6808,positive,Other
I bought a mobile card on this app but I didn't receive it and it took my money and I didn't get my money back.,1,2024-09-21,DashnBank,Google Play,0.0,neutral,Other
Amazing,5,2024-09-19,DashnBank,Google Play,0.5859,positive,Other
Great app with great services,5,2024-09-19,DashnBank,Google Play,0.8481,positive,Customer Support
Yes active user,5,2024-09-17,DashnBank,Google Play,0.6597,positive,Other
Shameful,1,2024-09-17,DashnBank,Google Play,-0.4939,negative,Other
The worest app ever made i would not recommende for no one,1,2024-09-16,DashnBank,Google Play,0.2235,positive,Other
"How many hours should I wait after transferring money to telebirr, please do something about the transfer delay issue I need my money when ever.",1,2024-09-15,DashnBank,Google Play,0.0,neutral,Transactions
"BOA is unreasonably holding and delaying transactions for more than a day, even transactions within the same bank itself. This is a huge gap that I observed in BOA mobile banking. I didn't experience this kind of challenge while having transactions in other banks' mobile banking platforms. After waiting so long, I called your customer support team and the response they gave me was ""it was the system that holds the transaction & will be released on working days"". This is not totally fair.",1,2024-09-15,DashnBank,Google Play,0.4269,positive,"Transactions, Customer Support"
የእርስዎን ተሞክሮ ይግለጹ (አማራጭ),5,2024-09-14,DashnBank,Google Play,0.0,neutral,Other
It's not working. It needs a big update. Can't you update the app quickly?,1,2024-09-14,DashnBank,Google Play,0.0,neutral,UI/UX
"I am Aimohon Joel , It's can be Good for a Better Conversation in Time 🙂",3,2024-09-14,DashnBank,Google Play,0.7003,positive,Other
"Better app than most mobile apps, but why do I have to turn off developer option every time I wanna use the app?? It's annoying.",1,2024-09-13,DashnBank,Google Play,-0.4515,negative,Other
Bes and freindly app,5,2024-09-13,DashnBank,Google Play,0.0,neutral,Other
It doesn't work.,1,2024-09-12,DashnBank,Google Play,0.0,neutral,Other
"It say ""The request was not successful. please check device connectivity or try again"" why? One of the bank manager told me it is because of my phone's android version which is 9.1 It is ridiculous! Disappointing",1,2024-09-11,DashnBank,Google Play,-0.8758,negative,Other
How to download or screenshot of payment receipt...what kinda worst app ever 🤮🤮🤢,1,2024-09-11,DashnBank,Google Play,-0.5868,negative,Transactions
Smart technology,5,2024-09-10,DashnBank,Google Play,0.4019,positive,Other
Yegema app tish🪨,1,2024-09-08,DashnBank,Google Play,0.0,neutral,Other
"This is not an appropriate app, i don't know how boa develops this app, i don't expect this much crazy and un confortable app form BOA, I'm soory!!!",1,2024-09-07,DashnBank,Google Play,-0.5067,negative,Other
"Shockingly bad! Even when it decides to work, it's painfully slow and frustrating. Such a shame that it has become a stain on an extraordinary bank",1,2024-09-06,DashnBank,Google Play,-0.9312,negative,Performance
"It crashes frequently. It launches on Android 8.1 but I don't think it actually works on versions less than 10. If so, it shouldn't be available for download by such devices to begin with, like many other finance apps are not. It was so much better three months ago, upgrades should be for the better.",1,2024-09-06,DashnBank,Google Play,0.915,positive,Performance
Awesome application. But lately its crashing everytime i opened it.,4,2024-09-05,DashnBank,Google Play,0.3716,positive,Performance
እጅም በጣም ደካማ አፕ ነው ሲፈልግ ይከፍታል ሲፈልግ አይከፍትም ከአዋሽ እና ንግድ ባንክ የመሳሰሉ ባንኮች ሲወዳደር ሞባይል ባንኪንግ App እጅግ የሚያበሳጭ ነው ለውጥ ያስፈልጋችኋል,1,2024-09-05,DashnBank,Google Play,0.0,neutral,Other
Fast one,3,2024-09-04,DashnBank,Google Play,0.0,neutral,Other
Nice looking app but a terrible user experience.,1,2024-09-03,DashnBank,Google Play,-0.5023,negative,UI/UX
The worest MB app ever!!🙄,1,2024-09-02,DashnBank,Google Play,0.0,neutral,Other
It is ok,5,2024-09-01,DashnBank,Google Play,0.296,positive,Other
Plz fix the Apps ....screenshot lovation hide from glarey share botten not work😔😔,1,2024-08-30,DashnBank,Google Play,0.2023,positive,Other
Apollo's,1,2024-08-29,DashnBank,Google Play,0.0,neutral,Other
The worst experience ever,1,2024-08-29,DashnBank,Google Play,-0.6249,negative,Other
Hussenaliumar,5,2024-08-29,DashnBank,Google Play,0.0,neutral,Other
Hi I have problem with this App BOA mobile I don't know what is wrong with this App I did many times download but it's sam doesn't work if sam like that this app way I have to be customer with them how I know my account and checking save The book is no Not enough alone,1,2024-08-28,DashnBank,Google Play,0.6072,positive,Other
It is not work for my device,5,2024-08-27,DashnBank,Google Play,0.0,neutral,Other
"I'm Sick and tiered of enabling and disabling Developer Option Everytime I use this app. maybe you know it maybe you dont, fix it please it's anoying",1,2024-08-26,DashnBank,Google Play,-0.8106,negative,Other
The worst app ever,1,2024-08-26,DashnBank,Google Play,-0.6249,negative,Other
Betanya Gebre,3,2024-08-23,DashnBank,Google Play,0.0,neutral,Other
I dont recommand it to any one,1,2024-08-23,DashnBank,Google Play,0.0,neutral,Other
"The application used to work well. But after updates I'm not able to use the forgot password feature, which is blocking me from accessing it as a whole.",1,2024-08-20,DashnBank,Google Play,-0.431,negative,Security
ትርሃስ,5,2024-08-19,DashnBank,Google Play,0.0,neutral,Other
Gio,4,2024-08-19,DashnBank,Google Play,0.0,neutral,Other
App isn't working,1,2024-08-18,DashnBank,Google Play,0.0,neutral,Other
so far good but always it lugs,3,2024-08-17,DashnBank,Google Play,0.2707,positive,Other
Don't trust this bank and its service.,1,2024-08-16,DashnBank,Google Play,-0.4023,negative,Customer Support
"I can not open and use the application,please help me!",5,2024-08-15,DashnBank,Google Play,0.4574,positive,Customer Support
Horrible,1,2024-08-14,DashnBank,Google Play,-0.5423,negative,Other
Mostly not working 😑,1,2024-08-14,DashnBank,Google Play,0.0,neutral,Other
Awesome 👌,5,2024-08-12,DashnBank,Google Play,0.6249,positive,Other
"Despite the enhanced technology you have, the application doesn't work properly, and it asks for the developer option to be turned off, fix that.",3,2024-08-12,DashnBank,Google Play,0.0,neutral,Other
Very poor app b/c highly slow to open the app,1,2024-08-12,DashnBank,Google Play,-0.5256,negative,Performance
Wedi Tekle .,5,2024-08-11,DashnBank,Google Play,0.0,neutral,Other
Bad app📱👎👎👎,1,2024-08-11,DashnBank,Google Play,-0.5423,negative,Other
Dura nan fayyadaman ture amma garuu naaf hojjechaa hin jiru maaf?,5,2024-08-11,DashnBank,Google Play,0.0,neutral,Other
Nice appp,5,2024-08-11,DashnBank,Google Play,0.4215,positive,Other
ሰላም አቢሲኒያዎች የሞባይል ባንኪንጋችሁ ተጠቃሚ ነኝ አገልግሎቱን ስላስጀመራችሁለን እናመሰግናለን። ነገር ግን አለፎ አልፎ የነበረው የማስፈንጠሪያው በአግባቡ አለመስራት አልፎ አልፎ ወደመስራት ተቀይሯል ድሮ እንደነበራችሁ እናውቃለን ዘንድሮም ብትኖሩልን እንመርጣለን *ከዘመን አንጉደል*,3,2024-08-10,DashnBank,Google Play,0.0,neutral,Other
Gooood app my dear,5,2024-08-10,DashnBank,Google Play,0.3818,positive,Other
Harun tamam galanaa,3,2024-08-09,DashnBank,Google Play,0.0,neutral,Other
"A total disaster of an app. Always offline, never works, it's embarassing. I've lost hope and taken my business to a competitor",1,2024-08-08,DashnBank,Google Play,-0.6124,negative,Other
Gamebela,1,2024-08-08,DashnBank,Google Play,0.0,neutral,Other
so poor app to use can't start up when open the app,1,2024-08-08,DashnBank,Google Play,-0.5256,negative,Other
"This app takes too long time to be opened. And even it is not working simply as other banks application. Why this app does not give a digital invoice. Even, I am not able to find where the screeshot is kept after transaction. So, please the developer should fix all these.",1,2024-08-07,DashnBank,Google Play,0.3804,positive,Transactions
Good job,5,2024-08-07,DashnBank,Google Play,0.4404,positive,Other
"Worst app ever, not user friendly, even doesn't serve basic functionality correctly, takes to much time to login and navigate through the app, we expected more from this bank",1,2024-08-07,DashnBank,Google Play,-0.7736,negative,Security
Bad app .,1,2024-08-06,DashnBank,Google Play,-0.5423,negative,Other
"I mean how could a big financial company like this, be this much irresponsible to release this app? You should be ashamed!",1,2024-08-06,DashnBank,Google Play,-0.5848,negative,Other
Review,5,2024-08-06,DashnBank,Google Play,0.0,neutral,Other
Goood,4,2024-08-06,DashnBank,Google Play,0.0,neutral,Other
👎👎👎👎👎👎👎👎👎,1,2024-08-06,DashnBank,Google Play,0.0,neutral,Other
Is it necessary to switch off developer options every time to use mobile banking?🤔🤔😡😡😡,1,2024-08-04,DashnBank,Google Play,0.0,neutral,Other
The previous version is better it doesn't work,1,2024-08-04,DashnBank,Google Play,0.4404,positive,Other
"I don't know what is wrong with BOA as a bank in general. It's been going backwards since last year or so. The app is a disaster to use in every possible way. Not stable to log in and very slow to perform transactions, couldn't take a screenshot (or can't even find the pictures even using its save screenshot option). Most of the time, it fails to perform transactions and so on. Simply, it's the worst!",1,2024-08-03,DashnBank,Google Play,-0.9198,negative,"Transactions, Performance"
"Take some note from CBE mobile banking app, it's the best banking app currently take some note and improve ur app . Sometimes u have to learn from the bests 🙌",1,2024-08-03,DashnBank,Google Play,0.7964,positive,Other
It's a useless app,1,2024-08-02,DashnBank,Google Play,-0.4215,negative,Other
